n,mean,std,t_stat,p_value,hit_ratio_neg,sharpe,cohen_d,horizon,type,symbol
13,0.001294849982066731,0.04061259935480684,0.11495565609056865,0.9103814132017942,0.5384615384615384,0.03188296249531919,0.03188296249531919,5,double_top,A
13,-0.017129965466873006,0.044298228095236446,-1.3942537093121263,0.18851893562204178,0.5384615384615384,-0.386696403071595,-0.386696403071595,5,random,A
24,-0.0016649892275989776,0.03206653297635361,-0.2543695034231261,0.8014705386686427,0.4166666666666667,-0.05192295745931648,-0.05192295745931648,5,ma_crossover,A
13,-0.031389221959117794,0.06032321789548305,-1.876150729667787,0.08516095807414194,0.6923076923076923,-0.5203505889474141,-0.5203505889474141,20,double_top,A
13,0.005654332668289075,0.07326110301133026,0.27827845235819626,0.7855355492257651,0.3076923076923077,0.07718055606417226,0.07718055606417226,20,random,A
24,0.006912659970758901,0.07985382812819056,0.4240871124309735,0.6754425201239889,0.375,0.08656641932885051,0.08656641932885051,20,ma_crossover,A
12,-0.001944307879324934,0.08618819965437795,-0.07814619741569745,0.9391151655525416,0.75,-0.02255886405704928,-0.02255886405704928,60,double_top,A
13,0.05661099720431087,0.12737061921857679,1.6025191243281773,0.13502139441963998,0.38461538461538464,0.4444588363597612,0.4444588363597612,60,random,A
23,0.03407607497347731,0.09743436214540024,1.677263656785638,0.10764364998041728,0.391304347826087,0.3497336486138838,0.3497336486138838,60,ma_crossover,A
