,5-day success,5-day return,5-day p-value,5-day hit ratio,5-day sharpe,5-day cohen d,20-day success,20-day return,20-day p-value,20-day hit ratio,20-day sharpe,20-day cohen d,60-day success,60-day return,60-day p-value,60-day hit ratio,60-day sharpe,60-day cohen d
A,False,0.001294849982066731,0.9103814132017942,0.5384615384615384,0.03188296249531919,0.03188296249531919,False,-0.031389221959117794,0.08516095807414194,0.6923076923076923,-0.5203505889474141,-0.5203505889474141,False,-0.001944307879324934,0.9391151655525416,0.75,-0.02255886405704928,-0.02255886405704928
AAPL,False,0.01111834701916027,0.46744047573705305,0.4444444444444444,0.25428799478614256,0.25428799478614256,False,0.024945704421789228,0.25803531641196137,0.4444444444444444,0.4058976559372489,0.4058976559372489,False,0.08376310443948755,0.08992730267173707,0.4444444444444444,0.6428364041416862,0.6428364041416862
ABBV,False,0.020759452594637465,0.16574168929763347,0.2727272727272727,0.45081161551543986,0.45081161551543986,False,0.010836434317927558,0.6423093304150833,0.36363636363636365,0.14439368255375049,0.14439368255375049,False,0.053943550128903915,0.07992634538901844,0.4444444444444444,0.6682486598985515,0.6682486598985515
ABNB,False,,,,,,False,,,,,,False,,,,,
ABT,False,-0.0183103998764668,0.13671655825119666,0.6923076923076923,-0.44234822092823495,-0.44234822092823495,False,-0.025674250212529944,0.27031468696990407,0.5454545454545454,-0.351840326983399,-0.351840326983399,False,0.008437384438933786,0.6859120740113456,0.7272727272727273,0.12554998041584525,0.12554998041584525
ACGL,False,0.010678944767990658,0.213110610704027,0.3333333333333333,0.38152926785751407,0.38152926785751407,False,0.017850339348165923,0.26451379857464574,0.4166666666666667,0.33941066276021864,0.33941066276021864,False,0.10937862325522275,8.8380900839564e-05,0.0,1.73404389858743,1.73404389858743
ACN,False,-0.03547867252106514,0.1383739092615286,0.8,-0.8262715480696875,-0.8262715480696875,False,-0.0850800249290983,0.1636092605819682,0.8,-0.76199869003993,-0.76199869003993,False,0.03634664210518683,0.1166937544299193,0.4,0.8924854145890849,0.8924854145890849
ADBE,False,,,,,,False,,,,,,False,,,,,
ADI,False,0.010755809061569152,0.1411882927767473,0.16666666666666666,0.457658129893526,0.457658129893526,False,0.03175807118489751,0.06032198662635525,0.16666666666666666,0.6042102982885007,0.6042102982885007,False,0.05127394245702135,0.270990797520581,0.3333333333333333,0.5050309348879737,0.5050309348879737
ADM,False,-0.010770878242712108,0.5094165341966019,0.3684210526315789,-0.1544262189864229,-0.1544262189864229,False,-0.02082448449023513,0.32997318076921145,0.5555555555555556,-0.2363849974996796,-0.2363849974996796,False,0.045367170297327286,0.18664471332720448,0.3333333333333333,0.32435334865059984,0.32435334865059984
ADP,False,-9.451568289449323e-05,0.9909678467369082,0.5384615384615384,-0.0032057337666074647,-0.0032057337666074647,False,0.020921008470083328,0.19435614225816933,0.07692307692307693,0.3812683753981141,0.3812683753981141,False,0.09954610938784025,0.011289479131555124,0.15384615384615385,0.8290757230519646,0.8290757230519646
ADSK,False,0.05178755088104941,0.005219398981414892,0.2222222222222222,1.2674394703365552,1.2674394703365552,False,0.025784829059003492,0.2879935895020436,0.1111111111111111,0.37938257982391443,0.37938257982391443,False,0.1913129121384085,4.7616827191902445e-05,0.0,2.634752460507563,2.634752460507563
AEE,False,0.004747197364950945,0.4970493141794001,0.5555555555555556,0.23713507130530148,0.23713507130530148,False,-0.0016388424026570665,0.9429281625568939,0.5555555555555556,-0.02462303572890088,-0.02462303572890088,False,0.06836216032598924,0.037157809398069924,0.2222222222222222,0.8320875282449856,0.8320875282449856
AEP,False,0.0024066550651424675,0.7807682494211511,0.4666666666666667,0.07325940695121252,0.07325940695121252,False,0.040480549585178695,0.0687094024005679,0.23076923076923078,0.5545750049198311,0.5545750049198311,False,0.09993143461032251,9.534917899400783e-05,0.07692307692307693,1.5877468367656093,1.5877468367656093
AES,False,-0.0009886778850703327,0.8967857494138339,0.7,-0.04219568903451554,-0.04219568903451554,False,-0.000819623016872828,0.9659000403095293,0.6,-0.013899795930656426,-0.013899795930656426,False,0.07723593033642978,0.10045603256421612,0.2,0.578775255140635,0.578775255140635
AFL,False,0.017196440431095156,0.044959856881973716,0.42857142857142855,0.5928636283076218,0.5928636283076218,False,0.07576123899501347,0.04993026946105111,0.38461538461538464,0.6045101171091111,0.6045101171091111,False,0.12184548245686197,0.0031765258266737545,0.15384615384615385,1.019320573442549,1.019320573442549
AIG,False,0.008762521790900242,0.149223295570685,0.4117647058823529,0.3674934540566483,0.3674934540566483,False,-0.01906842977492971,0.10186784232895912,0.625,-0.4356408682037346,-0.4356408682037346,False,-0.04512049957112348,0.36809028552411294,0.5625,-0.23200503244514054,-0.23200503244514054
AIZ,False,-0.010966126015882618,0.1666475853989188,0.6666666666666666,-0.34058239843660515,-0.34058239843660515,False,-0.0272220950959183,0.20485030526721507,0.6111111111111112,-0.31075509421694214,-0.31075509421694214,False,0.0428054098728055,0.239255512414519,0.5,0.2874702273450821,0.2874702273450821
AJG,False,-0.01249341627209033,0.45864238221268494,0.5384615384615384,-0.21237134303976957,-0.21237134303976957,False,0.002258960357628318,0.901872847369124,0.38461538461538464,0.03492661334433735,0.03492661334433735,False,0.09265050001825342,0.000701256889670669,0.07692307692307693,1.2537467471499468,1.2537467471499468
AKAM,False,-0.005295882495754599,0.5360856330425816,0.47368421052631576,-0.14472031899549243,-0.14472031899549243,False,0.022686364096993917,0.11443559178591715,0.5263157894736842,0.3806037992235004,0.3806037992235004,False,0.03492222671377455,0.21055813857981442,0.2631578947368421,0.297860822407182,0.297860822407182
ALB,True,-0.042827949210506665,0.014815096231650797,0.8333333333333334,-1.488342593488812,-1.488342593488812,False,0.021852644892895273,0.6703285422979204,0.6666666666666666,0.18445144421461346,0.18445144421461346,False,-0.027249523962756966,0.606815592220467,0.8333333333333334,-0.22400392719955817,-0.22400392719955817
ALGN,False,0.02222143139786002,0.22329060407075443,0.16666666666666666,0.5673864660584287,0.5673864660584287,False,0.07737544755940941,0.2263353475224847,0.3333333333333333,0.5630521386469078,0.5630521386469078,False,0.22008608362308565,0.04094556755874897,0.16666666666666666,1.11731088740025,1.11731088740025
ALL,False,0.0072963917597288885,0.47192817063657455,0.35714285714285715,0.1980127196255973,0.1980127196255973,False,0.024917761443851168,0.09519547553173109,0.35714285714285715,0.4809137907906022,0.4809137907906022,False,0.06861924343008312,0.02254336213616286,0.35714285714285715,0.6914796247207995,0.6914796247207995
ALLE,True,-0.019210975333542987,0.008109678662677582,0.8260869565217391,-0.6068571717102614,-0.6068571717102614,False,0.012039744484772503,0.3031822042791471,0.4090909090909091,0.2250367238368114,0.2250367238368114,False,0.017376902535583508,0.28944491552465734,0.3181818181818182,0.23170549731499127,0.23170549731499127
AMAT,False,0.015763410985228838,0.14417843719150616,0.35714285714285715,0.4153298490103057,0.4153298490103057,False,0.041523171467015625,0.044771370016184676,0.2857142857142857,0.5934737008795338,0.5934737008795338,False,0.05128882338587379,0.33965368688626607,0.46153846153846156,0.27579909650509876,0.27579909650509876
AMCR,False,0.004113858776608081,0.5473522418258527,0.5454545454545454,0.18778264514439152,0.18778264514439152,False,-0.0498853532435006,0.10629842469037826,0.8181818181818182,-0.5351618625491202,-0.5351618625491202,False,-0.0010107028274747602,0.9684674581670354,0.6363636363636364,-0.012220608480342789,-0.012220608480342789
AMD,False,0.05994632025707417,0.4265654986794823,0.5,0.35314916896153353,0.35314916896153353,False,0.12606618017938517,0.33970842389455674,0.5,0.43070631709130336,0.43070631709130336,False,0.3242524231752066,0.21681271413836664,0.3333333333333333,0.5767966895059295,0.5767966895059295
AME,False,0.0021526788736351333,0.8104091420044998,0.631578947368421,0.055851437813442185,0.055851437813442185,False,-0.00643594691654228,0.7888989270426902,0.3157894736842105,-0.06234605177084631,-0.06234605177084631,False,0.056346944341078196,0.010387384306803554,0.21052631578947367,0.6563131254129643,0.6563131254129643
AMGN,False,0.009846212134433627,0.1620563585401031,0.42857142857142855,0.3961974057860776,0.3961974057860776,False,-0.0032933216706382434,0.7812847639447813,0.7142857142857143,-0.07575907144975465,-0.07575907144975465,False,0.053772820349498686,0.04319197130665863,0.42857142857142855,0.5986829934953369,0.5986829934953369
AMP,False,0.015163971970390796,0.12660801868808289,0.3333333333333333,0.41938879018211633,0.41938879018211633,False,0.04226151084431843,0.01650062487426371,0.26666666666666666,0.7030400282191804,0.7030400282191804,False,0.09988023522378645,0.012345191741499955,0.2,0.7411103352369072,0.7411103352369072
