Date,Close,High,Low,Open,Volume
,GEV,GEV,GEV,GEV,GEV
2024-06-14,169.8386993408203,174.43972488026455,165.87642719554896,173.75106578376457,3128300
2024-06-17,168.4314422607422,171.5453784103012,165.82652295870272,169.41952035085453,2804200
2024-06-18,179.22039794921875,179.89906673011396,166.0061697565874,167.6130358161556,3364900
2024-06-20,176.8350372314453,185.13884615888088,174.75410508996666,178.12253423167138,4005300
2024-06-21,175.38787841796875,176.83505246137466,170.06825322113008,176.755221609769,3793000
2024-06-24,177.79318237304688,178.80121054282856,174.4297482284456,176.20628156557166,2552900
2024-06-25,181.09674072265625,181.14664642589034,175.9268327241524,179.4499591195084,2553400
2024-06-26,179.64955139160156,181.37119901740354,177.2741802276733,180.53781800876345,2284000
2024-06-27,175.93679809570312,178.923967227598,172.91269844086474,178.04269073205384,2541300
2024-06-28,171.17608642578125,175.95676943509181,166.84953464608367,174.45968974374802,3783600
2024-07-01,167.19384765625,170.86667549244075,164.79851124957372,170.6670679324879,2748200
2024-07-02,169.47940063476562,171.64517411299968,165.087972926774,165.087972926774,2447400
2024-07-03,172.3437957763672,174.4397133023365,168.85061005247246,169.76883227291623,1317200
2024-07-05,175.88690185546875,177.09455286429846,170.9265764958809,171.166114733663,1629500
2024-07-08,174.03050231933594,178.252277609702,173.83089475874885,176.46575415410805,1659100
2024-07-09,172.6432342529297,174.48963872158092,172.2639844015348,173.94070642854277,1800600
2024-07-10,179.38009643554688,179.44996746914214,174.26009390204834,174.589438054736,1835700
2024-07-11,176.35598754882812,182.80341756168664,176.20628566881877,180.64761911505758,2574500
2024-07-12,180.0986785888672,183.97211937488683,174.06045429677854,177.60354584247366,1603900
2024-07-15,177.09454345703125,181.45603060502276,176.15637111190685,179.88909516637924,3026400
2024-07-16,182.3842315673828,183.5319865570549,177.83309657430166,178.43193453444133,1789700
2024-07-17,165.50714111328125,179.8491587421572,162.58283772224584,179.8491587421572,6033800
2024-07-18,161.17559814453125,171.11619834071237,159.119595997444,167.67291824401758,4736600
2024-07-19,163.02198791503906,163.37131258784905,158.8002276123815,161.68460043065397,2547800
