Date,Close,High,Low,Open,Volume
,LMT,LMT,LMT,LMT,LMT
2015-03-06,149.07757568359375,149.81670036504192,148.36107644587818,149.62060934990458,1220300
2015-03-09,150.64645385742188,151.21211340125788,148.73829658355154,148.89667481113682,887600
2015-03-10,149.017333984375,150.0732270713023,148.8136933503349,149.64333185318603,1087100
2015-03-11,148.73826599121094,149.64331877352362,148.51199991854014,149.28883794495914,953000
2015-03-12,149.92236328125,150.05057802819778,148.98713561670365,148.98713561670365,1047200
2015-03-13,148.66282653808594,150.09582568669254,147.52396980454574,149.31144974930532,1155400
2015-03-16,152.4338836669922,152.57718587847256,149.40949578754848,149.49999760180174,1198000
2015-03-17,151.34780883789062,152.35091276332665,150.86511333699502,151.9587190724838,936600
2015-03-18,152.80345153808594,153.47470017830358,149.60558651154253,151.4232413323503,872800
2015-03-19,152.49429321289062,153.37672083878374,151.6269415574961,152.7280973477374,1178000
2015-03-20,153.68589782714844,153.88952693398275,152.10204683488092,153.14286385884932,3938100
2015-03-23,153.04483032226562,154.30436407305905,153.04483032226562,153.35406027232108,1028100
2015-03-24,153.3314208984375,154.13842238038345,151.55901671957324,152.60737175284146,1250900
2015-03-25,150.10337829589844,153.85935340671895,150.08829082322092,153.36157038368847,1338200
2015-03-26,151.2648468017578,151.68720393150045,148.02173097213574,149.0097589465171,1499700
2015-03-27,152.52442932128906,153.0071249833293,151.02355343113717,151.26489550797112,1256400
2015-03-30,154.53060913085938,155.51108774894004,153.1051478696492,153.48225414519018,1049000
2015-03-31,153.07498168945312,154.74178495280174,153.07498168945312,153.4520879582395,1261500
2015-04-01,149.90728759765625,152.7054213208175,148.90418348966904,152.42636635012497,1897200
2015-04-02,149.8771514892578,150.51068740718804,149.08522583765867,150.36738515014778,1387600
2015-04-06,151.24224853515625,151.687231197667,149.2209643342372,150.33719573611233,1366300
2015-04-07,150.95565795898438,152.76577523197946,150.76710479565395,151.59674331765652,1084800
2015-04-08,151.453369140625,152.26791980035273,150.5634041564056,151.1818522540491,944800
2015-04-09,151.92860412597656,152.2830850063057,151.061252638808,151.23472984126505,828100
2015-04-10,151.14419555664062,152.49424251173926,151.05369373024138,151.87578267568946,1279000
2015-04-13,148.61761474609375,151.69480394122294,148.44414904754376,150.8651653683796,2130400
2015-04-14,148.83627319335938,149.1605905117576,148.08961027800234,148.4968799128909,1586900
2015-04-15,148.73826599121094,150.43524427368615,148.61003972694675,149.53772947405997,1154300
2015-04-16,148.67037963867188,149.36425382917534,147.5767737026433,148.26310991038292,1065300
2015-04-17,146.93568420410156,148.1575047666843,146.27197352399764,147.6748092288913,1229900
2015-04-20,148.42901611328125,149.07008980653154,147.0714313682086,147.28260993873448,1276600
