Date,Close,High,Low,Open,Volume
,ATO,ATO,ATO,ATO,ATO
2015-01-02,43.11758041381836,43.3258380462173,42.69334427491532,43.13300450759093,421700
2015-01-05,42.33854293823242,42.81676942194799,42.06857708671728,42.77820329207542,373000
2015-01-06,42.07626724243164,42.87845527297468,41.952853925610064,42.36937497328498,561100
2015-01-07,42.67790985107422,42.8090352132466,41.929714960732376,42.38480211943428,550900
2015-01-08,42.96332931518555,43.20244111077512,42.87077000535756,42.94790227314632,747300
2015-01-09,42.616207122802734,43.07900638518301,42.353953422812324,43.017301189988416,432800
2015-01-12,42.68563461303711,42.83990204103897,42.26911344015403,42.82447500399813,414200
2015-01-13,42.89389419555664,43.595808181250824,42.45423394860569,42.99416846277192,341800
2015-01-14,44.07404327392578,44.097182362323025,42.63936094515743,42.63936094515743,575300
2015-01-15,44.205162048339844,44.32857539702383,43.94290831458557,44.22058908472613,744300
2015-01-16,45.09990692138672,45.10761896792518,43.98918390585519,43.996898894799806,500700
2015-01-20,44.90707015991211,45.470143673697144,44.32856961175415,45.09990367596476,458800
2015-01-21,45.20790100097656,45.25417917297725,44.39028563421992,44.82994592266648,593900
2015-01-22,45.23102951049805,45.54727636231624,44.953348773797984,45.516422293259346,595800
2015-01-23,45.2464599609375,45.593560908017196,45.20017885385814,45.39301238641284,403700
2015-01-26,45.362159729003906,45.37758676417723,44.47512433217753,45.16161121415682,420100
2015-01-27,45.09990692138672,45.778678828204704,45.01505969743293,45.34673360430347,539000
2015-01-28,44.38257598876953,45.53957742992156,44.22059649318588,45.20790344806543,556400
2015-01-29,45.26958465576172,45.32357779232452,44.266851193645806,44.613952030410424,338100
2015-01-30,43.8966178894043,45.23874034611438,43.796343645377426,44.97648666801727,934800
2015-02-02,44.35171127319336,44.54454480046811,43.54181104712062,44.25915200397519,589000
2015-02-03,44.67567825317383,44.7142473195176,44.09717756689712,44.1126046049533,758000
2015-02-04,43.78092575073242,44.876221791080674,43.657512402479725,44.55997490228273,719500
2015-02-05,44.3054313659668,44.421132662424135,43.75778483986859,44.03546559744126,417400
2015-02-06,42.49280548095703,44.35172097272633,42.0377181393667,44.16659945139859,746900
2015-02-09,42.03001022338867,42.76277550540161,41.78318052321593,42.34625719067641,329100
2015-02-10,42.38481521606445,42.52365560856279,41.883446805108605,42.014575150204365,797500
2015-02-11,41.25094985961914,42.384811998135305,41.16610263260007,42.384811998135305,850600
2015-02-12,41.01182174682617,41.505477910789594,40.85755732189323,41.335783512477,1461400
2015-02-13,40.510475158691406,41.12754197014309,40.27136048195097,41.03498268402701,957300
2015-02-17,40.5258903503418,40.74957792360727,40.14793538370684,40.41018906971323,1557700
2015-02-18,41.28950881958008,41.335789919676884,40.27134815669647,40.43332759342665,1703600
2015-02-19,41.07194519042969,41.437133691248086,40.97093503752249,41.289502783768356,695800
2015-02-20,41.12635803222656,41.242908503095784,40.613541295604875,41.11081777184389,822500
2015-02-23,41.28174591064453,41.36721583639754,40.94763781761046,41.12634631509368,393300
2015-02-24,41.43714904785156,41.654706721817085,41.19627950596045,41.374988018717985,394000
2015-02-25,41.29729080200195,41.608087063988144,41.15743144670779,41.49153957724373,735300
2015-02-26,40.78446960449219,41.41383366911046,40.7689293485262,41.35944425522989,489300
2015-02-27,41.211822509765625,41.343910259475834,40.74562365219742,40.92433217686481,798000
2015-03-02,40.496978759765625,41.28174537328182,39.82876258239562,41.134114425629875,848100
2015-03-03,41.40605926513672,41.483757570161046,40.64460461269702,40.91655164428251,1072400
2015-03-04,41.273983001708984,41.406073723173755,40.885485412932354,41.406073723173755,790500
2015-03-05,41.51483917236328,41.68577900472426,41.15742221742707,41.3205904406805,576700
2015-03-06,40.56692123413086,41.09527824050849,40.38044403423385,41.00980828888834,935500
2015-03-09,40.543617248535156,40.854416571440794,40.45814728653601,40.598006685443345,518500
2015-03-10,40.41929244995117,40.97872996721052,40.37267166884569,40.403752189582676,676800
2015-03-11,40.44260025024414,40.636849053524855,40.19396201916495,40.543610457870535,959200
2015-03-12,41.49153518676758,41.654703429344565,40.67568804588108,40.67568804588108,596600
2015-03-13,41.250675201416016,41.437155353191756,40.65238854297074,41.429383741366976,569200
2015-03-16,41.864501953125,42.00436132540059,41.382762797952886,41.382762797952886,877900
2015-03-17,42.15198516845703,42.221914847665204,41.73240709320796,41.78679651436975,589700
2015-03-18,43.2475471496582,43.488416697710946,41.99658456435387,42.15198417716205,825200
2015-03-19,42.882347106933594,43.550563189610266,42.75802804252865,42.97558862823752,732400
2015-03-20,43.39518356323242,43.402955175579855,42.812437125244514,43.05330671998678,1683200
2015-03-23,43.06883239746094,43.37185996836846,42.952281963726975,43.30193030092821,417200
2015-03-24,42.882347106933594,43.216455148271926,42.68809838355085,42.94450812113621,568900
2015-03-25,42.45500946044922,43.34078335161072,42.423928946794206,43.014446850235814,625400
2015-03-26,41.87228012084961,42.610426317014955,41.8489712081714,42.35401642154612,573400
2015-03-27,42.431697845458984,42.431697845458984,41.810102432088556,41.91888125892829,480900
2015-03-30,43.02998733520508,43.11545726620907,42.33069059426421,42.54824826300096,364300
2015-03-31,42.967830657958984,43.278629899622835,42.76581322567834,42.913441235267996,924700
2015-04-01,43.37186050415039,43.37186050415039,42.42392565913936,42.8745841802104,449700
2015-04-02,43.47287368774414,43.783669929682794,43.18538634885064,43.449561820698094,527900
2015-04-06,43.83028793334961,44.03230532965901,43.35632050800748,43.457330688162536,615300
2015-04-07,43.1543083190918,43.85360212670049,43.11545915711371,43.82252457551866,320000
2015-04-08,43.037742614746094,43.29415232812083,42.781335865371375,43.24753157187087,299900
2015-04-09,42.75804138183594,43.25531779459197,42.50940317545792,42.94452151862006,379300
2015-04-10,43.022212982177734,43.25531089296489,42.68810488991586,42.95228331254151,243400
2015-04-13,42.385074615478516,43.02221024766715,42.37730597001305,42.91343142714722,304900
2015-04-14,42.64148712158203,42.88235367852853,42.41615785656693,42.563785841921266,421100
